translator,family,language,domain,cosine,bleu,ter,embedding
google,turkic,kk,legal,0.9790916916436484,54.12656320362908,31.70384432842905,0.8862962126731873
google,turkic,kk,emotional,0.9812867893032264,44.88427486591417,39.65863453815261,0.8624995946884155
google,turkic,tr,conversational,0.9869891575252951,55.88371855715292,32.93991416309013,0.8353597521781921
google,turkic,tr,cultural,0.9728758704714136,53.39638633113622,31.5946348733234,0.9072317481040956
google,turkic,tr,idiomatic,0.9746513622495028,56.98617807514492,32.16924110141034,0.8452286720275879
google,turkic,tr,technical,0.9856076951501008,72.1116833797178,16.601409553641346,0.96217679977417
google,turkic,tr,legal,0.985877318655654,60.57175901003024,25.86616041765544,0.9117640852928162
google,turkic,tr,emotional,0.9849824137229362,54.94913065260519,30.77309236947791,0.8905332684516907
google,turkic,uz,conversational,0.9850293007865176,52.87627668049768,37.1244635193133,0.8132328987121582
google,turkic,uz,cultural,0.9706707466996062,51.89971655668116,34.2026825633383,0.8916116952896118
google,turkic,uz,idiomatic,0.9746376460117154,52.9337964143791,35.72867696440564,0.8492816686630249
google,turkic,uz,technical,0.9747516013127462,61.12496866965139,26.938136256852,0.9328139424324036
google,turkic,uz,legal,0.9808082925338192,55.965651866367416,30.612244897959183,0.896563708782196
google,turkic,uz,emotional,0.9831306988354984,47.03464623836735,34.78915662650602,0.8808196783065796
google,uralic,et,conversational,0.9916396381878708,68.80430295001851,23.17596566523605,0.8775988221168518
google,uralic,et,cultural,0.9754205730051289,60.721623794807776,25.037257824143072,0.9202964901924132
google,uralic,et,idiomatic,0.9812957813961822,64.36462741612974,24.51309603760913,0.8799195885658264
google,uralic,et,technical,0.981015012421732,69.56475834312405,18.71574001566171,0.9595274925231934
google,uralic,et,legal,0.9839620110510656,60.64804688678303,26.672994779307075,0.9171695113182068
google,uralic,et,emotional,0.98801652691644,59.48044274089046,25.953815261044177,0.918998658657074
google,uralic,fi,conversational,0.9889669279162228,68.92838920225134,23.49785407725322,0.8759118914604187
google,uralic,fi,cultural,0.9716702510915802,60.17056240367442,25.6333830104322,0.9038160443305968
google,uralic,fi,idiomatic,0.9802533063297828,66.33980226584474,21.96104768300873,0.8727068901062012
google,uralic,fi,technical,0.9787590632028976,65.57488120395439,20.43852779953015,0.9383316040039062
google,uralic,fi,legal,0.9789876745453506,51.19447702728947,32.74798291409587,0.8904080986976624
google,uralic,fi,emotional,0.9863408813968452,57.4755490855445,27.359437751004016,0.8918512463569641
google,uralic,hu,conversational,0.9890622913581468,61.84378724691514,29.399141630901287,0.8559004068374634
google,uralic,hu,cultural,0.9709714720428464,54.936627498017536,29.880774962742173,0.8974423408508301
google,uralic,hu,idiomatic,0.9764874663361552,60.351419200217535,28.475486903962388,0.8572028279304504
google,uralic,hu,technical,0.9808152354862544,67.76022924582993,19.42051683633516,0.962058424949646
google,uralic,hu,legal,0.9807550804983411,54.34576883804616,32.36829615567157,0.8911912441253662
google,uralic,hu,emotional,0.9853762894709036,52.2737734577784,31.576305220883533,0.9005102515220642
nllb,romance,it,conversational,0.985436,50.9154,36.0515,0.7956830263137817
nllb,romance,es,conversational,0.988369,61.112,25.5365,0.8387870192527771
nllb,romance,fr,conversational,0.984871,55.5658,31.5451,0.7923210263252258
nllb,romance,pt,conversational,0.986008,54.6416,32.1888,0.8250349760055542
nllb,romance,ro,conversational,0.986189,57.2538,30.1502,0.8158640265464783
nllb,romance,ca,conversational,0.983318,58.6045,30.3648,0.806198000907898
nllb,romance,gl,conversational,0.984689,54.0005,33.691,0.8135669827461243
nllb,romance,it,cultural,0.971069,54.2101,29.5082,0.8884909749031067
nllb,romance,es,cultural,0.974183,59.7606,24.4411,0.9021160006523132
nllb,romance,fr,cultural,0.970369,52.196,30.4024,0.8949810266494751
nllb,romance,pt,cultural,0.975901,56.9695,26.304,0.9149010181427002
nllb,romance,ro,cultural,0.970677,55.0852,28.465,0.8771389722824097
nllb,romance,ca,cultural,0.96616,51.6364,31.2221,0.8615639805793762
nllb,romance,gl,cultural,0.973664,54.2451,29.5827,0.8933709859848022
nllb,romance,it,idiomatic,0.973039,52.634,32.1021,0.8199620246887207
nllb,romance,es,idiomatic,0.980012,61.3945,25.1175,0.8694990277290344
nllb,romance,fr,idiomatic,0.97379,51.9904,32.1021,0.8382650017738342
nllb,romance,pt,idiomatic,0.977003,55.2834,28.7441,0.8707410097122192
nllb,romance,ro,idiomatic,0.975557,58.0537,27.4681,0.8555480241775513
nllb,romance,ca,idiomatic,0.971773,52.794,30.8932,0.8085539937019348
nllb,romance,gl,idiomatic,0.977661,55.971,28.4755,0.8588879704475403
nllb,romance,it,technical,0.968038,51.0382,32.6547,0.8757209777832031
nllb,romance,es,technical,0.968684,54.1866,28.6609,0.8972790241241455
nllb,romance,fr,technical,0.965231,49.2506,35.3955,0.8730000257492065
nllb,romance,pt,technical,0.967633,52.9859,29.5223,0.8901860117912292
nllb,romance,ro,technical,0.962808,43.9557,38.3712,0.8447930216789246
nllb,romance,ca,technical,0.963747,49.7356,34.2208,0.8690119981765747
nllb,romance,gl,technical,0.966585,53.6203,29.2874,0.8949919939041138
nllb,romance,it,legal,0.977367,45.0192,35.9279,0.8472769856452942
nllb,romance,es,legal,0.981112,52.4578,29.9953,0.8807569742202759
nllb,romance,fr,legal,0.979796,47.8451,34.1718,0.867347002029419
nllb,romance,pt,legal,0.978735,51.2587,32.4158,0.8629940152168274
nllb,romance,ro,legal,0.977391,42.7631,39.1077,0.8536670207977295
nllb,romance,ca,legal,0.983418,57.0533,27.3374,0.8914560079574585
nllb,romance,gl,legal,0.982388,55.7651,27.8595,0.8887760043144226
nllb,romance,it,emotional,0.986249,53.1045,30.8233,0.8825230002403259
nllb,romance,es,emotional,0.988296,59.0301,25.3012,0.8899270296096802
nllb,romance,fr,emotional,0.98618,52.4537,32.3795,0.892615020275116
nllb,romance,pt,emotional,0.987983,57.6282,26.8072,0.9035230278968812
nllb,romance,ro,emotional,0.985405,51.3331,32.2289,0.8785600066184998
nllb,romance,ca,emotional,0.986624,54.8393,28.9659,0.8798180222511292
nllb,romance,gl,emotional,0.984699,53.8998,30.6727,0.8925269842147827
nllb,germanic,de,conversational,0.985664,53.201,33.9056,0.807811975479126
nllb,germanic,nl,conversational,0.986195,55.0728,32.5107,0.8105909824371338
nllb,germanic,sv,conversational,0.986582,57.7527,29.721,0.829006016254425
nllb,germanic,da,conversational,0.984714,53.5077,32.9399,0.8057050108909607
nllb,germanic,no,conversational,0.988116,63.9747,24.8927,0.8405569791793823
nllb,germanic,af,conversational,0.985964,58.2205,31.2232,0.8276839852333069
nllb,germanic,is,conversational,0.982351,49.0349,37.9828,0.7678279876708984
